Morgan Freeman, Morgan128@jhu.edu
Vera Farmiga, Vera141@jhu.edu
Reese Witherspoon, Reese239@jhu.edu
Kathy Bates, Kathy315@jhu.edu
Michelle Williams, Michelle114@jhu.edu
Roman Polanski, Roman323@jhu.edu
Kathryn Bigelow, Kathryn146@jhu.edu
James Franco, James104@jhu.edu
Clive Owen, Clive259@jhu.edu
Jacki Weaver, Jacki119@jhu.edu
Patricia Clarkson, Patricia291@jhu.edu
Jude Law, Jude277@jhu.edu
David Strathairn, David229@jhu.edu
Ang Lee, Ang245@jhu.edu
 Hidden Dragon", Hidden371@jhu.edu
Amy Adams, Amy115@jhu.edu
Jack Nicholson, Jack304@jhu.edu
Forest Whitaker, Forest204@jhu.edu
Taraji P. Henson, Taraji168@jhu.edu
Danny Boyle, Danny174@jhu.edu
John C. Reilly, John308@jhu.edu
Ellen Page, Ellen189@jhu.edu
John Hawkes, John106@jhu.edu
Keira Knightley, Keira237@jhu.edu
Alejandro González Iñárritu, Alejandro220@jhu.edu
Djimon Hounsou, Djimon207@jhu.edu
Tim Robbins, Tim283@jhu.edu
Robert Downey Jr., Robert156@jhu.edu
Russell Crowe, Russell325@jhu.edu
Stephen Daldry, Stephen173@jhu.edu
Geoffrey Rush, Geoffrey109@jhu.edu
Ruby Dee, Ruby191@jhu.edu
Mike Leigh, Mike274@jhu.edu
Frank Langella, Frank151@jhu.edu
Christopher Walken, Christopher309@jhu.edu
Hailee Steinfeld, Hailee118@jhu.edu
Richard Jenkins, Richard150@jhu.edu
Bill Murray, Bill278@jhu.edu
Tony Gilroy, Tony197@jhu.edu
Darren Aronofsky, Darren120@jhu.edu
Mark Wahlberg, Mark209@jhu.edu
Jeremy Renner, Jeremy107@jhu.edu
Helena Bonham Carter, Helena116@jhu.edu
Paul Newman, Paul307@jhu.edu
Salma Hayek, Salma310@jhu.edu
Brad Pitt, Brad153@jhu.edu
Virginia Madsen, Virginia267@jhu.edu
Hilary Swank, Hilary263@jhu.edu
Diane Keaton, Diane286@jhu.edu
Terrence Howard, Terrence226@jhu.edu
Benicio Del Toro, Benicio281@jhu.edu
Adrien Brody, Adrien300@jhu.edu
Natalie Portman, Natalie113@jhu.edu
Michael Shannon, Michael159@jhu.edu
Queen Latifah, Queen317@jhu.edu
Tom Hanks, Tom352@jhu.edu
Laura Linney, Laura188@jhu.edu
Jon Voight, Jon334@jhu.edu
Chris Cooper, Chris305@jhu.edu
Sean Penn, Sean152@jhu.edu
Christopher Plummer, Christopher132@jhu.edu
Tilda Swinton, Tilda194@jhu.edu
Ellen Burstyn, Ellen362@jhu.edu
Alan Alda, Alan255@jhu.edu
Willem Dafoe, Willem356@jhu.edu
Ridley Scott, Ridley346@jhu.edu
Johnny Depp, Johnny177@jhu.edu
Jennifer Hudson, Jennifer218@jhu.edu
Keisha Castle-Hughes, Keisha285@jhu.edu
Angelina Jolie, Angelina161@jhu.edu
Don Cheadle, Don250@jhu.edu
Fernando Meirelles, Fernando295@jhu.edu
Viola Davis, Viola167@jhu.edu
Jason Reitman, Jason149@jhu.edu
Ethan Hawke, Ethan331@jhu.edu
Maggie Gyllenhaal, Maggie142@jhu.edu
Paul Thomas Anderson, Paul199@jhu.edu
Abigail Breslin, Abigail217@jhu.edu
Viggo Mortensen, Viggo179@jhu.edu
Rinko Kikuchi, Rinko219@jhu.edu
Samantha Morton, Samantha287@jhu.edu
Christian Bale, Christian105@jhu.edu
Frances McDormand, Frances242@jhu.edu
Catherine Zeta-Jones, Catherine319@jhu.edu
Annette Bening, Annette110@jhu.edu
Julianne Moore, Julianne313@jhu.edu
Alexander Payne, Alexander273@jhu.edu
Lee Daniels, Lee148@jhu.edu
Tom Hooper, Tom122@jhu.edu
Joel Coen and Ethan Coen, Joel124@jhu.edu
Catalina Sandino Moreno, Catalina261@jhu.edu
Sandra Bullock, Sandra135@jhu.edu
Alan Arkin, Alan205@jhu.edu
Sissy Spacek, Sissy338@jhu.edu
Marcia Gay Harden, Marcia292@jhu.edu
Cate Blanchett, Cate185@jhu.edu
Nicole Kidman, Nicole111@jhu.edu
Jesse Eisenberg, Jesse102@jhu.edu
Renée Zellweger, Renée294@jhu.edu
Juliette Binoche, Juliette361@jhu.edu
Peter O''Toole, Peter202@jhu.edu
Pedro Almodóvar, Pedro324@jhu.edu
Carey Mulligan, Carey137@jhu.edu
Leonardo DiCaprio, Leonardo200@jhu.edu
Rob Marshall, Rob320@jhu.edu
Charlize Theron, Charlize238@jhu.edu
Matt Dillon, Matt231@jhu.edu
Paul Haggis, Paul247@jhu.edu
Robert Altman, Robert347@jhu.edu
Julia Roberts, Julia364@jhu.edu
Julie Walters, Julie369@jhu.edu
Stephen Frears, Stephen223@jhu.edu
Joan Allen, Joan360@jhu.edu
Julian Schnabel, Julian195@jhu.edu
Mickey Rourke, Mickey154@jhu.edu
David Fincher, David123@jhu.edu
Melissa Leo, Melissa117@jhu.edu
Tommy Lee Jones, Tommy178@jhu.edu
Anna Kendrick, Anna143@jhu.edu
Kate Hudson, Kate367@jhu.edu
Jennifer Connelly, Jennifer340@jhu.edu
Mo''Nique, Mo''Nique144@jhu.edu
Anne Hathaway, Anne160@jhu.edu
Rachel Weisz, Rachel243@jhu.edu
Paul Greengrass, Paul224@jhu.edu
Kate Winslet, Kate164@jhu.edu
Adriana Barraza, Adriana215@jhu.edu
Josh Brolin, Josh155@jhu.edu
Felicity Huffman, Felicity236@jhu.edu
Casey Affleck, Casey180@jhu.edu
Gabourey Sidibe, Gabourey138@jhu.edu
Quentin Tarantino, Quentin147@jhu.edu
Denzel Washington, Denzel328@jhu.edu
Steven Spielberg, Steven249@jhu.edu
Jamie Foxx, Jamie254@jhu.edu
David O. Russell, David121@jhu.edu
Stanley Tucci, Stanley133@jhu.edu
Peter Jackson, Peter296@jhu.edu
Woody Harrelson, Woody131@jhu.edu
Ron Howard, Ron171@jhu.edu
Penélope Cruz, Penélope140@jhu.edu
Taylor Hackford, Taylor272@jhu.edu
Heath Ledger, Heath158@jhu.edu
Jim Broadbent, Jim330@jhu.edu
Clint Eastwood, Clint222@jhu.edu
Jennifer Lawrence, Jennifer112@jhu.edu
Mark Ruffalo, Mark108@jhu.edu
Ed Harris, Ed306@jhu.edu
Steven Soderbergh, Steven372@jhu.edu
Thomas Haden Church, Thomas256@jhu.edu
Nicolas Cage, Nicolas301@jhu.edu
Hal Holbrook, Hal183@jhu.edu
Marion Cotillard, Marion187@jhu.edu
Michael Caine, Michael302@jhu.edu
Jackie Earle Haley, Jackie206@jhu.edu
George Clooney, George126@jhu.edu
Eddie Murphy, Eddie208@jhu.edu
Javier Bardem, Javier100@jhu.edu
Sophie Okonedo, Sophie268@jhu.edu
Imelda Staunton, Imelda262@jhu.edu
Sofia Coppola, Sofia297@jhu.edu
 and Good Luck.", and248@jhu.edu
Ian McKellen, Ian333@jhu.edu
Shohreh Aghdashloo, Shohreh290@jhu.edu
Maggie Smith, Maggie342@jhu.edu
Diane Lane, Diane312@jhu.edu
Bennett Miller, Bennett246@jhu.edu
