Christopher Nolan, Christopher10033@jhu.edu
Morgan Freeman, Morgan128@jhu.edu
Vera Farmiga, Vera141@jhu.edu
Hayden Christensen, Hayden10346@jhu.edu
Ewan McGregor, Ewan10335@jhu.edu
Reese Witherspoon, Reese239@jhu.edu
Kathy Bates, Kathy315@jhu.edu
Evan Rachel Wood, Evan10251@jhu.edu
Michelle Williams, Michelle114@jhu.edu
Roman Polanski, Roman323@jhu.edu
Kathryn Bigelow, Kathryn146@jhu.edu
James Franco, James104@jhu.edu
Clive Owen, Clive259@jhu.edu
Jacki Weaver, Jacki119@jhu.edu
Patricia Clarkson, Patricia291@jhu.edu
Jude Law, Jude277@jhu.edu
Ziyi Zhang, Ziyi10178@jhu.edu
Ang Lee, Ang245@jhu.edu
David Strathairn, David229@jhu.edu
Emily Blunt, Emily10035@jhu.edu
 Hidden Dragon", Hidden371@jhu.edu
John Cameron Mitchell, John10336@jhu.edu
Amy Adams, Amy115@jhu.edu
Jack Nicholson, Jack304@jhu.edu
Forest Whitaker, Forest204@jhu.edu
Taraji P. Henson, Taraji168@jhu.edu
John C. Reilly, John308@jhu.edu
Danny Boyle, Danny174@jhu.edu
Keira Knightley, Keira237@jhu.edu
John Hawkes, John106@jhu.edu
Ellen Page, Ellen189@jhu.edu
Nia Vardalos, Nia10294@jhu.edu
Alejandro González Iñárritu, Alejandro220@jhu.edu
Michael Douglas, Michael10026@jhu.edu
Robert De Niro, Robert10374@jhu.edu
Djimon Hounsou, Djimon207@jhu.edu
Liam Neeson, Liam10220@jhu.edu
Tim Robbins, Tim283@jhu.edu
Robert Downey Jr., Robert156@jhu.edu
Beyoncé Knowles, Beyoncé10151@jhu.edu
Sarah Jessica Parker, Sarah10187@jhu.edu
Russell Crowe, Russell325@jhu.edu
Stephen Daldry, Stephen173@jhu.edu
Geoffrey Rush, Geoffrey109@jhu.edu
Ruby Dee, Ruby191@jhu.edu
Mike Leigh, Mike274@jhu.edu
Pierce Brosnan, Pierce10189@jhu.edu
Frank Langella, Frank151@jhu.edu
Mo''nique, Mo''nique10058@jhu.edu
Joseph Gordon-Levitt, Joseph10053@jhu.edu
Christopher Walken, Christopher309@jhu.edu
Hailee Steinfeld, Hailee118@jhu.edu
Richard Jenkins, Richard150@jhu.edu
Bill Murray, Bill278@jhu.edu
Tony Gilroy, Tony197@jhu.edu
Darren Aronofsky, Darren120@jhu.edu
Richard Gere, Richard10299@jhu.edu
Mark Wahlberg, Mark209@jhu.edu
Jeremy Renner, Jeremy107@jhu.edu
Aaron Eckhart, Aaron10156@jhu.edu
Helena Bonham Carter, Helena116@jhu.edu
Paul Newman, Paul307@jhu.edu
Salma Hayek, Salma310@jhu.edu
Hugh Grant, Hugh10300@jhu.edu
Brad Pitt, Brad153@jhu.edu
Virginia Madsen, Virginia267@jhu.edu
Dennis Quaid, Dennis10310@jhu.edu
Jodie Foster, Jodie10107@jhu.edu
Hilary Swank, Hilary263@jhu.edu
Diane Keaton, Diane286@jhu.edu
Terrence Howard, Terrence226@jhu.edu
Benicio Del Toro, Benicio281@jhu.edu
Adrien Brody, Adrien300@jhu.edu
Kevin Spacey, Kevin10019@jhu.edu
Natalie Portman, Natalie113@jhu.edu
Michael Shannon, Michael159@jhu.edu
Queen Latifah, Queen317@jhu.edu
Tom Hanks, Tom352@jhu.edu
Hugh Jackman, Hugh10334@jhu.edu
Laura Linney, Laura188@jhu.edu
Jon Voight, Jon334@jhu.edu
Shirley MacLaine, Shirley10196@jhu.edu
Tom Cruise, Tom10095@jhu.edu
Chris Cooper, Chris305@jhu.edu
Sean Penn, Sean152@jhu.edu
Cillian Murphy, Cillian10193@jhu.edu
Tobey Maguire, Tobey10044@jhu.edu
Christopher Plummer, Christopher132@jhu.edu
Steve Buscemi, Steve10345@jhu.edu
Tilda Swinton, Tilda194@jhu.edu
Ellen Burstyn, Ellen362@jhu.edu
Jeff Daniels, Jeff10190@jhu.edu
Terrance Howard, Terrance10181@jhu.edu
Mike Nichols, Mike10243@jhu.edu
Alan Alda, Alan255@jhu.edu
Maria Bello, Maria10174@jhu.edu
Willem Dafoe, Willem356@jhu.edu
Jack Black, Jack10262@jhu.edu
Joe Wright, Joe10139@jhu.edu
Ridley Scott, Ridley346@jhu.edu
Johnny Depp, Johnny177@jhu.edu
Colin Farrell, Colin10086@jhu.edu
Nathan Lane, Nathan10192@jhu.edu
Keisha Castle-Hughes, Keisha285@jhu.edu
Jennifer Hudson, Jennifer218@jhu.edu
Fernando Meirelles, Fernando295@jhu.edu
Don Cheadle, Don250@jhu.edu
Angelina Jolie, Angelina161@jhu.edu
Hope Davis, Hope10268@jhu.edu
Alejandro Iñárritu, Alejandro10172@jhu.edu
Viola Davis, Viola167@jhu.edu
Baz Luhrmann, Baz10353@jhu.edu
Ethan Hawke, Ethan331@jhu.edu
Jason Reitman, Jason149@jhu.edu
Goldie Hawn, Goldie10293@jhu.edu
Maggie Gyllenhaal, Maggie142@jhu.edu
Adam Sandler, Adam10301@jhu.edu
Paul Thomas Anderson, Paul199@jhu.edu
Peter Sarsgaard, Peter10275@jhu.edu
Will Ferrell, Will10158@jhu.edu
Abigail Breslin, Abigail217@jhu.edu
Viggo Mortensen, Viggo179@jhu.edu
Samantha Morton, Samantha287@jhu.edu
Rinko Kikuchi, Rinko219@jhu.edu
Catherine Zeta-Jones, Catherine319@jhu.edu
Frances McDormand, Frances242@jhu.edu
Christian Bale, Christian105@jhu.edu
Annette Bening, Annette110@jhu.edu
Julianne Moore, Julianne313@jhu.edu
Cameron Diaz, Cameron10303@jhu.edu
Alexander Payne, Alexander273@jhu.edu
Lee Daniels, Lee148@jhu.edu
Gwyneth Paltrow, Gwyneth10176@jhu.edu
Joel Coen and Ethan Coen, Joel124@jhu.edu
Tom Hooper, Tom122@jhu.edu
Catalina Sandino Moreno, Catalina261@jhu.edu
Sandra Bullock, Sandra135@jhu.edu
Brenda Blethyn, Brenda10367@jhu.edu
Alan Arkin, Alan205@jhu.edu
Sissy Spacek, Sissy338@jhu.edu
Marcia Gay Harden, Marcia292@jhu.edu
Cate Blanchett, Cate185@jhu.edu
Tim Burton, Tim10135@jhu.edu
Nicole Kidman, Nicole111@jhu.edu
Sacha Baron Cohen, Sacha10154@jhu.edu
Jesse Eisenberg, Jesse102@jhu.edu
Renée Zellweger, Renée294@jhu.edu
Juliette Binoche, Juliette361@jhu.edu
Peter O''Toole, Peter202@jhu.edu
Tracey Ullman, Tracey10369@jhu.edu
Marc Forster, Marc10242@jhu.edu
Ethan Coen, Ethan10136@jhu.edu
Pedro Almodóvar, Pedro324@jhu.edu
James McAvoy, James10112@jhu.edu
Carey Mulligan, Carey137@jhu.edu
Leonardo DiCaprio, Leonardo200@jhu.edu
Toni Collette, Toni10150@jhu.edu
Rob Marshall, Rob320@jhu.edu
